Team,AvgAge,Payroll,DeadCash,CapAllocations,Cap Space,DeadCap,PTS,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,RosterAge,W,L,MOV,SRS,ORtg,DRtg,NRtg,Pace,TS%,WinPct,CostPerWin,PayrollRank,CapAllocationRank,PointDiffPerDollar,NetRatingPerMillion
OKC,24.6,187827634,2298085,188057857,-33410857,2296274,119.0,0.484,0.365,0.817,44.1,25.8,9.7,5.5,12.6,25.2,64.0,18.0,11.15,11.04,118.9,107.7,11.2,99.3,0.599,0.78,2934806.781,19.0,23.0,0.059,0.06
SAS,26.6,187078708,7569181,183990669,-29343669,7258201,119.8,0.483,0.359,0.787,47.0,28.1,7.5,5.5,13.5,25.4,62.0,20.0,8.3,8.28,119.6,111.3,8.3,99.9,0.595,0.756,3017398.516,21.0,25.0,0.044,0.044
DET,25.9,179870831,6210275,193082507,-38435507,9337154,117.8,0.485,0.356,0.763,45.6,27.8,10.4,6.4,15.1,26.1,60.0,22.0,8.16,7.53,117.9,109.7,8.2,99.3,0.583,0.732,2997847.183,25.0,21.0,0.045,0.046
BOS,26.1,196926936,582842,194526296,-39879296,469063,114.9,0.467,0.367,0.807,46.4,24.6,7.1,5.0,12.4,26.9,56.0,26.0,7.7,7.37,120.8,112.7,8.1,94.8,0.583,0.683,3516552.429,10.0,18.0,0.039,0.041
DEN,26.7,192006289,636435,200743895,-46096895,0,122.1,0.496,0.396,0.808,44.0,29.0,6.8,4.0,12.9,27.8,54.0,28.0,5.15,4.97,122.6,117.4,5.2,98.4,0.616,0.659,3555672.019,12.0,11.0,0.027,0.027
LAL,26.7,199094473,1076877,211399497,-56752497,991577,116.3,0.502,0.359,0.763,41.0,25.9,8.5,4.3,14.5,28.0,53.0,29.0,1.76,1.68,118.2,116.4,1.8,98.3,0.609,0.646,3756499.491,7.0,6.0,0.009,0.009
NYK,26.1,211069097,369424,209823691,-55176691,73153,116.5,0.478,0.373,0.792,45.6,27.4,8.1,3.9,13.6,28.1,53.0,29.0,6.33,6.05,119.8,113.3,6.5,96.8,0.59,0.646,3982435.792,3.0,7.0,0.03,0.031
CLE,27.3,227400492,1474424,226181970,-71534970,424672,119.5,0.482,0.36,0.776,44.4,28.3,8.5,5.0,14.0,27.2,52.0,30.0,4.11,3.78,119.2,115.1,4.1,99.9,0.595,0.634,4373086.385,1.0,4.0,0.018,0.018
HOU,27.8,198306133,110300,201412484,-46765484,0,115.2,0.479,0.364,0.763,48.1,25.4,8.5,5.8,15.4,26.5,52.0,30.0,5.22,4.87,118.6,113.2,5.4,96.1,0.576,0.634,3813579.481,9.0,10.0,0.026,0.027
MIN,26.9,203414011,808346,228841297,-74194297,0,118.0,0.481,0.37,0.752,44.1,26.1,8.7,5.8,14.8,27.9,49.0,33.0,3.35,3.07,116.8,113.5,3.3,100.5,0.592,0.598,4151306.347,5.0,3.0,0.016,0.016
