Team,TeamName,W,L,WinPct_V2,WinPct,PTS,MOV,SRS,ORtg,DRtg,NRtg,Pace,TS%,Payroll,PayrollMillions,CapAllocations,Cap Space,DeadCash,DeadCap,FinancialEfficiencyScore,FinancialFlexibilityScore,TeamPerformanceScore,HustleCompositeScore,FrontOfficeCompositeScore,FrontOfficeCompositeRank,AvgAge,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,RosterAge,CostPerWin,PayrollRank,CapAllocationRank,PointDiffPerDollar,NetRatingPerMillion,G,MP,FG,FGA,3P,3PA,2P,2PA,2P%,FT,FTA,ORB,DRB,PF,RosterAge_Advanced,AdvancedSource_W,AdvancedSource_L,PW,PL,AdvancedSource_MOV,SOS,AdvancedSource_SRS,AdvancedSource_ORtg,AdvancedSource_DRtg,AdvancedSource_NRtg,AdvancedSource_Pace,FTr,3PAr,AdvancedSource_TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT_FGA,Opp_eFG%,Opp_TOV%,Def_DRB%,Opp_FT_FGA,Arena,TotalAttendance,AttendancePerGame,PayrollSource_PayrollSourceRank,PayrollSource_Record,PayrollSource_SignedPlayers,PayrollSource_PayrollAvgAge,PayrollSource_ActiveCash,PayrollSource_DeadCash_Source,PayrollSource_RetainedCash,PayrollSource_TotalCashPayroll,CapSource_CapSourceRank,CapSource_Record,CapSource_CapPlayerCount,CapSource_CapActiveAvgAge,CapSource_TotalCapAllocations_Source,CapSource_CapSpace_Source,CapSource_AllActiveCap,CapSource_ActiveTop3Cap,CapSource_DeadCap_Source,Min,Screen Assists,Screen Assists PTS,Deflections,OFF Loose Balls Recovered,DEF Loose Balls Recovered,Loose Balls Recovered,% Loose Balls Recovered OFF,% Loose Balls Recovered DEF,Charges Drawn,Contested 2PT Shots,Contested 3PT Shots,Contested Shots,Salary_PlayerCount,Salary_PlayersWithCurrentSalary,Salary_CurrentTotal,Salary_CurrentMean,Salary_CurrentMedian,Salary_CurrentMax,Salary_CurrentMin,Salary_CurrentStd,Salary_CurrentRange,Salary_Top3Total,Salary_Top5Total,Salary_GuaranteedTotal,Salary_Top1Share,Salary_Top3Share,Salary_Top5Share,Salary_ConcentrationHHI,Salary_2026_27_TeamTotal,Salary_2027_28_TeamTotal,Salary_2028_29_TeamTotal,Salary_2029_30_TeamTotal,Salary_2030_31_TeamTotal,G_Shooting,MP_Shooting,Shooting_FG%,AverageShotDistance,FGA_Share_2P,FGA_Share_0_3,FGA_Share_3_10,FGA_Share_10_16,FGA_Share_16_3P,FGA_Share_3P,FGPct_2P,FGPct_0_3,FGPct_3_10,FGPct_10_16,FGPct_16_3P,FGPct_3P,AssistedFGPct_2P,AssistedFGPct_3P,Dunk_FGA_Share,Dunks_Made,Layup_FGA_Share,Layups_Made,Corner3_ShareOf3PA,Corner3_FG%,HalfCourt_Attempts,HalfCourt_Makes,TotalCashPayroll,ActiveCash,DeadCash_Source,RetainedCash,SignedPlayers,PayrollAvgAge,TotalCapAllocations_Source,CapSpace_Source,AllActiveCap,ActiveTop3Cap,DeadCap_Source,CapPlayerCount,CapActiveAvgAge,GamesPlayed_Record,ScoringAboveLeagueAvg,PayrollVsLeagueAverage,PayrollPercentile,CostPerWin_V2,WinsPerPayrollMillion,MOVPerPayrollMillion,NetRatingPerPayrollMillion_V2,OffensiveRatingPerPayrollMillion,DeadCashPctOfPayroll,DeadCapPctOfAllocations,CapAllocationsPerWin,RetainedCashPctOfPayroll,ActiveCashPctOfPayroll,CapTop3Share,CapSpacePctOfAllocations,PlayerSalaryCoverageOfPayroll,GuaranteedToCurrentSalaryRatio,SalaryCoefficientOfVariation,CalculatedNetRating,EffectiveFGDifferential,TurnoverRateDifferential,ReboundingComposite,AssistTurnoverRatio,ThreePointAttemptRate_Calculated,FreeThrowAttemptRate_Calculated,OffensiveReboundShare,RimAndThreeShare,RimToThreeBalance,RimThreeEfficiencyAverage,Corner3EfficiencyPremium,AssistedShotProfile,RimFinishesMade,HustleCompositeZ,DeflectionsPerWin,LooseBallsRecoveredPerWin,ContestedShotsPerWin,FinancialEfficiencyZ,TeamPerformanceZ,FinancialFlexibilityZ
OKC,Oklahoma City Thunder,64.0,18.0,0.780488,0.78,119.0,11.15,11.04,118.9,107.7,11.2,99.3,0.599,187827634,187.827634,188057857,-33410857,2298085,2296274,100.0,100.0,100.0,100.0,100.0,1,24.6,0.484,0.365,0.817,44.1,25.8,9.7,5.5,12.6,25.2,2934806.781,19.0,23.0,0.059,0.06,82,242.1,43.1,89.1,13.8,37.9,29.3,51.2,0.572,19.0,23.2,9.6,34.6,19.0,25.2,64.0,18.0,65,17,11.15,-0.11,11.04,118.9,107.7,11.2,99.3,0.261,0.426,0.599,0.561,11.2,22.3,0.213,0.519,14.6,74.4,0.184,Paycom Center,764842,18203,19,64-18,15,24.6,181465678,2298085,4063871,187827634,1,64-18,15,24.6,188057857,-33410857,183713089,84935050,2296274,48.0,8.2,18.6,20.8,2.1,2.4,4.5,47.6,52.4,0.51,27.4,18.9,46.3,16,16,187450150,11715634.375,7806852.0,38333050,3000000,9595390.60182,35333050,85055272,116888640,1028410263,0.204497,0.453749,0.623572,0.104425,250574372,221323649,200807250,173685800,185206200,82,19855,0.484,14.6,0.574,0.233,0.179,0.116,0.046,0.426,0.572,0.72,0.441,0.524,0.447,0.365,0.474,0.86,0.064,413,0.252,1067,0.23,0.38,0,0,187827634,181465678,2298085,4063871,15,24.6,188057857,-33410857,183713089,84935050,2296274,15,24.6,82.0,3.393333,-2241904.866667,60.0,2934806.78125,0.340738,0.059363,0.059629,0.633027,0.012235,0.01221,2938404.015625,0.021636,0.966129,0.462324,-0.177663,0.99799,5.486313,0.819024,11.2,0.042,3.4,-3.3,2.047619,0.425365,0.260382,0.217687,0.659,0.546948,0.5425,0.015,0.667,1480,1.233602,0.325,0.070312,0.723438,1.432796,1.800278,0.788974
SAS,San Antonio Spurs,62.0,20.0,0.756098,0.756,119.8,8.3,8.28,119.6,111.3,8.3,99.9,0.595,187078708,187.078708,183990669,-29343669,7569181,7258201,93.333333,96.666667,96.666667,44.827586,82.873563,3,26.6,0.483,0.359,0.787,47.0,28.1,7.5,5.5,13.5,25.4,3017398.516,21.0,25.0,0.044,0.044,82,240.6,43.4,89.9,13.6,37.9,29.8,52.0,0.574,19.3,24.6,11.4,35.6,18.9,25.4,62.0,20.0,60,22,8.3,-0.03,8.28,119.6,111.3,8.3,99.9,0.274,0.422,0.595,0.559,11.8,26.2,0.215,0.522,11.5,77.3,0.18,Frost Bank Center,743129,18703,21,62-20,15,26.6,179509527,7569181,0,187078708,2,62-20,15,26.6,183990669,-29343669,176732468,83596620,7258201,47.7,8.1,18.2,15.7,2.0,2.1,4.1,49.7,50.3,0.26,27.6,14.8,42.5,16,16,186035565,11627222.8125,10280260.0,37096620,2296274,9534316.438886,34800346,83096620,114041742,557235409,0.199406,0.446671,0.61301,0.104525,152768566,120004713,119274533,61752000,,82,19730,0.483,13.9,0.578,0.277,0.171,0.089,0.041,0.422,0.574,0.704,0.468,0.422,0.467,0.359,0.521,0.92,0.074,498,0.264,1117,0.318,0.391,1,0,187078708,179509527,7569181,0,15,26.6,183990669,-29343669,176732468,83596620,7258201,15,26.6,82.0,4.193333,-2990830.866667,66.666667,3017398.516129,0.331411,0.044366,0.044366,0.639303,0.04046,0.039449,2967591.435484,0.0,0.95954,0.473012,-0.159485,0.994424,2.995317,0.819999,8.3,0.037,-0.3,3.5,2.081481,0.42158,0.273637,0.242553,0.699,0.656398,0.5315,0.032,0.7205,1615,-0.091803,0.253226,0.066129,0.685484,1.072225,1.41195,0.741635
DET,Detroit Pistons,60.0,22.0,0.731707,0.732,117.8,8.16,7.53,117.9,109.7,8.2,99.3,0.583,179870831,179.870831,193082507,-38435507,6210275,9337154,96.666667,80.0,93.333333,93.103448,90.775862,2,25.9,0.485,0.356,0.763,45.6,27.8,10.4,6.4,15.1,26.1,2997847.183,25.0,21.0,0.045,0.046,82,241.5,43.4,89.5,11.0,30.9,32.4,58.6,0.553,19.9,26.1,13.1,32.5,22.0,26.1,60.0,22.0,60,22,8.16,-0.63,7.53,117.9,109.7,8.2,99.3,0.292,0.345,0.583,0.546,13.0,30.9,0.223,0.517,14.8,74.2,0.251,Little Caesars Arena,806422,19651,25,60-22,15,25.9,166479170,6210275,7181386,179870831,3,60-22,15,25.9,193082507,-38435507,176545353,91019317,9337154,47.6,7.1,16.4,20.6,2.7,2.8,5.6,49.3,50.7,0.15,26.0,16.4,42.4,17,17,185911869,10935992.294118,6483144.0,46394100,1372870,11243863.470732,45021230,91019317,122854009,465950174,0.249549,0.489583,0.660819,0.121006,133047899,97985462,60264382,61240212,,82,19805,0.485,12.4,0.655,0.252,0.284,0.082,0.037,0.345,0.553,0.696,0.487,0.413,0.398,0.356,0.565,0.863,0.087,583,0.319,1290,0.286,0.376,1,1,179870831,166479170,6210275,7181386,15,25.9,193082507,-38435507,176545353,91019317,9337154,15,25.9,82.0,2.193333,-10198707.866667,80.0,2997847.183333,0.333573,0.045366,0.045588,0.65547,0.034526,0.048358,3218041.783333,0.039925,0.925548,0.515558,-0.199063,1.033585,2.506296,1.028152,8.2,0.029,1.8,5.1,1.84106,0.345251,0.29162,0.287281,0.597,0.730435,0.526,0.02,0.714,1873,0.765655,0.343333,0.093333,0.706667,1.129757,1.333645,0.365282
BOS,Boston Celtics,56.0,26.0,0.682927,0.683,114.9,7.7,7.37,120.8,112.7,8.1,94.8,0.583,196926936,196.926936,194526296,-39879296,582842,469063,90.0,26.666667,90.0,48.275862,63.735632,8,26.1,0.467,0.367,0.807,46.4,24.6,7.1,5.0,12.4,26.9,3516552.429,10.0,18.0,0.039,0.041,82,240.6,42.1,90.2,15.5,42.1,26.7,48.1,0.555,15.1,18.7,12.5,33.9,19.0,26.9,56.0,26.0,59,23,7.7,-0.33,7.37,120.8,112.7,8.1,94.8,0.207,0.467,0.583,0.553,11.2,29.2,0.167,0.523,11.4,75.7,0.189,TD Garden,785396,19156,10,56-26,15,26.1,172490138,582842,23853956,196926936,4,56-26,15,26.1,194526296,-39879296,187416191,135368714,469063,47.5,9.3,22.3,15.2,2.2,1.9,4.1,54.8,45.2,0.29,24.2,16.3,40.5,15,15,189660536,12644035.733333,2619000.0,54126450,73153,17882126.649591,54053297,135368714,166894839,681153580,0.285386,0.713742,0.879966,0.200011,180193378,184368863,184895875,71446914,,82,19730,0.467,16.2,0.533,0.161,0.196,0.112,0.064,0.467,0.555,0.754,0.49,0.481,0.382,0.367,0.463,0.794,0.039,255,0.235,1055,0.162,0.414,0,0,196926936,172490138,582842,23853956,15,26.1,194526296,-39879296,187416191,135368714,469063,15,26.1,82.0,-0.706667,6857397.133333,30.0,3516552.428571,0.284369,0.039101,0.041132,0.613425,0.00296,0.002411,3473683.857143,0.121131,0.875909,0.722289,-0.205007,0.963101,3.591435,1.414274,8.1,0.03,0.2,4.9,1.983871,0.466741,0.207317,0.269397,0.628,0.344754,0.5605,0.047,0.6285,1310,-0.066861,0.271429,0.073214,0.723214,1.028407,1.230516,-0.277414
DEN,Denver Nuggets,54.0,28.0,0.658537,0.659,122.1,5.15,4.97,122.6,117.4,5.2,98.4,0.616,192006289,192.006289,200743895,-46096895,636435,0,86.666667,36.666667,83.333333,6.896552,53.390805,15,26.7,0.496,0.396,0.808,44.0,29.0,6.8,4.0,12.9,27.8,3555672.019,12.0,11.0,0.027,0.027,82,243.0,43.5,87.8,14.2,35.8,29.4,52.0,0.565,20.8,25.8,9.8,34.2,19.1,27.8,54.0,28.0,53,29,5.15,-0.17,4.97,122.6,117.4,5.2,98.4,0.294,0.408,0.616,0.577,11.5,23.6,0.237,0.543,10.4,75.3,0.196,Ball Arena,812868,19826,12,54-28,15,26.7,189548304,636435,1821550,192006289,5,54-28,15,26.7,200743895,-46096895,187214031,124460081,0,48.0,8.9,21.2,14.4,1.8,1.8,3.5,49.8,50.2,0.33,22.1,14.9,37.0,14,14,186699349,13335667.785714,4639136.5,55224526,623967,16752505.326733,54600559,124460081,155912146,640920866,0.295794,0.666634,0.835097,0.184149,215482928,189299206,121572007,26724137,28448274,82,19930,0.496,14.4,0.592,0.212,0.224,0.097,0.06,0.408,0.565,0.72,0.491,0.486,0.424,0.396,0.586,0.829,0.046,288,0.266,1131,0.25,0.44,3,3,192006289,189548304,636435,1821550,15,26.7,200743895,-46096895,187214031,124460081,0,15,26.7,82.0,6.493333,1936750.133333,36.666667,3555672.018519,0.281241,0.026822,0.027082,0.638521,0.003315,0.0,3717479.537037,0.009487,0.987198,0.664801,-0.22963,0.972361,3.432904,1.256218,5.2,0.034,-1.1,-1.1,2.248062,0.407745,0.29385,0.222727,0.62,0.519608,0.558,0.044,0.7075,1419,-0.705687,0.266667,0.064815,0.685185,0.874557,0.869706,-0.1936
LAL,Los Angeles Lakers,53.0,29.0,0.646341,0.646,116.3,1.76,1.68,118.2,116.4,1.8,98.3,0.609,199094473,199.094473,211399497,-56752497,1076877,991577,76.666667,53.333333,63.333333,86.206897,69.885057,7,26.7,0.502,0.359,0.763,41.0,25.9,8.5,4.3,14.5,28.0,3756499.491,7.0,6.0,0.009,0.009,82,240.3,42.0,83.7,11.8,32.9,30.2,50.8,0.595,20.4,26.8,9.4,31.5,18.5,28.0,53.0,29.0,45,37,1.76,-0.07,1.68,118.2,116.4,1.8,98.3,0.32,0.394,0.609,0.573,13.2,23.9,0.244,0.555,13.0,74.3,0.191,Crypto.com Arena,773047,18855,7,53-29,15,26.7,190246888,1076877,7770708,199094473,6,53-29,15,26.7,211399497,-56752497,194334002,116886072,991577,47.6,8.9,20.7,17.1,1.9,2.3,4.2,46.0,54.0,0.74,22.1,14.4,36.5,15,15,240138771,16009251.4,11000000.0,52627153,1272870,15435115.826492,51354283,132281627,170461741,323661950,0.219153,0.550855,0.709847,0.128637,105270325,78535470,57768000,,,82,19705,0.502,14.4,0.606,0.209,0.218,0.127,0.052,0.394,0.595,0.778,0.531,0.471,0.433,0.359,0.569,0.735,0.078,499,0.228,974,0.239,0.345,1,0,199094473,190246888,1076877,7770708,15,26.7,211399497,-56752497,194334002,116886072,991577,15,26.7,82.0,0.693333,9024934.133333,20.0,3756499.490566,0.266205,0.00884,0.009041,0.593688,0.005409,0.004691,3988669.754717,0.03903,0.955561,0.60147,-0.268461,1.206155,1.347812,0.964137,1.8,0.018,-0.2,-1.8,1.786207,0.39307,0.320191,0.229268,0.603,0.530457,0.5685,-0.014,0.652,1473,0.390484,0.322642,0.079245,0.688679,0.612673,0.434844,0.037615
NYK,New York Knicks,53.0,29.0,0.646341,0.646,116.5,6.33,6.05,119.8,113.3,6.5,96.8,0.59,211069097,211.069097,209823691,-55176691,369424,73153,80.0,50.0,86.666667,68.965517,71.408046,5,26.1,0.478,0.373,0.792,45.6,27.4,8.1,3.9,13.6,28.1,3982435.792,3.0,7.0,0.03,0.031,82,240.9,42.7,89.4,14.2,38.2,28.4,51.2,0.556,16.8,21.3,12.7,32.9,20.0,28.1,53.0,29.0,56,26,6.33,-0.28,6.05,119.8,113.3,6.5,96.8,0.238,0.428,0.59,0.557,12.1,29.3,0.188,0.541,13.1,76.7,0.206,Madison Square Garden (IV),792480,19812,3,53-29,15,26.1,207285880,369424,3413793,211069097,7,53-29,15,26.1,209823691,-55176691,207454264,127655231,73153,47.4,6.9,15.8,17.0,2.2,2.3,4.4,48.9,51.1,0.54,22.4,16.3,38.7,15,15,225202056,15013470.4,7874853.0,53142264,1272870,15682554.67231,51869394,127655231,172027471,569380966,0.235976,0.566848,0.763881,0.139408,205460628,213377864,130531914,41517856,,82,19755,0.478,14.4,0.572,0.246,0.17,0.108,0.049,0.428,0.556,0.689,0.464,0.449,0.439,0.373,0.534,0.86,0.058,387,0.237,1013,0.302,0.416,0,0,211069097,207285880,369424,3413793,15,26.1,209823691,-55176691,207454264,127655231,73153,15,26.1,82.0,0.893333,20999558.133333,6.666667,3982435.792453,0.251103,0.02999,0.030796,0.567587,0.00175,0.000349,3958937.566038,0.016174,0.982076,0.615342,-0.262967,1.066959,2.528312,1.044566,6.5,0.016,1.0,6.0,2.014706,0.427293,0.238255,0.278509,0.674,0.574766,0.531,0.043,0.697,1400,0.062427,0.320755,0.083019,0.730189,0.770247,0.998298,0.027517
CLE,Cleveland Cavaliers,52.0,30.0,0.634146,0.634,119.5,4.11,3.78,119.2,115.1,4.1,99.9,0.595,227400492,227.400492,226181970,-71534970,1474424,424672,66.666667,16.666667,76.666667,72.413793,58.103448,12,27.3,0.482,0.36,0.776,44.4,28.3,8.5,5.0,14.0,27.2,4373086.385,1.0,4.0,0.018,0.018,82,240.9,43.3,90.0,14.3,39.8,29.0,50.2,0.578,18.5,23.9,11.7,32.7,19.6,27.2,52.0,30.0,51,31,4.11,-0.34,3.78,119.2,115.1,4.1,99.9,0.265,0.442,0.595,0.561,12.2,26.9,0.206,0.543,13.1,74.4,0.209,Rocket Arena,796712,19432,1,52-30,15,27.3,181104094,1474424,44821974,227400492,8,52-30,15,27.3,226181970,-71534970,211979654,132234290,424672,47.9,7.5,17.3,19.2,2.3,2.1,4.4,51.5,48.5,0.18,25.9,15.3,41.2,16,16,212140929,13258808.0625,5057968.0,46394100,424672,15873278.362165,45969428,131970893,167907345,597263542,0.218695,0.622091,0.79149,0.152079,222210758,171395398,103262238,61240212,,82,19755,0.482,14.4,0.558,0.252,0.19,0.082,0.034,0.442,0.578,0.708,0.484,0.48,0.372,0.36,0.574,0.814,0.082,540,0.231,979,0.226,0.377,1,0,227400492,181104094,1474424,44821974,15,27.3,226181970,-71534970,211979654,132234290,424672,15,27.3,82.0,3.893333,37330953.133333,0.0,4373086.384615,0.228671,0.018074,0.01803,0.524185,0.006484,0.001878,4349653.269231,0.197106,0.79641,0.623807,-0.316272,0.932896,2.815409,1.197187,4.1,0.018,0.9,1.3,2.021429,0.442222,0.265556,0.263514,0.694,0.570136,0.534,0.017,0.694,1519,0.082218,0.369231,0.084615,0.792308,0.507277,0.695223,-0.48637
HOU,Houston Rockets,52.0,30.0,0.634146,0.634,115.2,5.22,4.87,118.6,113.2,5.4,96.1,0.576,198306133,198.306133,201412484,-46765484,110300,0,83.333333,56.666667,80.0,65.517241,71.37931,6,27.8,0.479,0.364,0.763,48.1,25.4,8.5,5.8,15.4,26.5,3813579.481,9.0,10.0,0.026,0.027,82,242.7,43.0,89.8,11.5,31.5,31.5,58.3,0.54,17.8,23.4,15.0,33.1,18.3,26.5,52.0,30.0,54,28,5.22,-0.35,4.87,118.6,113.2,5.4,96.1,0.26,0.35,0.576,0.542,13.3,34.8,0.199,0.53,12.1,74.5,0.189,Toyota Center,740378,18058,9,52-30,15,27.8,197075354,110300,1120479,198306133,9,52-30,15,27.8,201412484,-46765484,194771442,113653563,0,48.1,6.3,14.3,16.9,2.7,2.3,5.1,53.7,46.3,0.18,26.2,15.6,41.8,14,14,194689411,13906386.5,10147080.0,54708609,2296274,14344974.185577,52412335,113653563,140483997,561922254,0.281005,0.583769,0.72158,0.147434,184925541,151805142,76015108,64571580,27426355,82,19905,0.479,13.7,0.65,0.211,0.225,0.147,0.067,0.35,0.54,0.7,0.492,0.439,0.422,0.364,0.494,0.859,0.081,534,0.234,932,0.291,0.377,2,1,198306133,197075354,110300,1120479,15,27.8,201412484,-46765484,194771442,113653563,0,15,27.8,82.0,-0.406667,8236594.133333,26.666667,3813579.480769,0.262221,0.026323,0.027231,0.598065,0.000556,0.0,3873317.0,0.00565,0.993794,0.583523,-0.232188,0.981762,2.88625,1.031539,5.4,0.012,-1.2,9.3,1.649351,0.35078,0.260579,0.31185,0.561,0.602857,0.532,0.013,0.6765,1466,0.043406,0.325,0.098077,0.803846,0.797877,0.839745,0.114385
MIN,Minnesota Timberwolves,49.0,33.0,0.597561,0.598,118.0,3.35,3.07,116.8,113.5,3.3,100.5,0.592,203414011,203.414011,228841297,-74194297,808346,0,73.333333,33.333333,70.0,27.586207,51.063218,16,26.9,0.481,0.37,0.752,44.1,26.1,8.7,5.8,14.8,27.9,4151306.347,5.0,3.0,0.016,0.016,82,241.2,42.6,88.5,13.8,37.2,28.9,51.4,0.562,19.0,25.3,11.1,33.0,21.2,27.9,49.0,33.0,49,33,3.35,-0.28,3.07,116.8,113.5,3.3,100.5,0.285,0.42,0.592,0.559,12.9,25.7,0.215,0.529,13.0,73.7,0.22,Target Center,732465,17865,5,49-33,15,26.9,190581469,808346,12024196,203414011,10,49-33,15,26.9,228841297,-74194297,194042641,111414710,0,47.5,7.2,17.7,17.1,2.2,2.1,4.3,51.7,48.3,0.11,27.3,15.0,42.3,14,14,204249210,14589229.285714,9509195.0,45550512,2191897,13912303.627979,43358615,111414710,157359538,598973243,0.223014,0.545484,0.770429,0.136382,190387866,188783461,119308939,28448276,,82,19780,0.481,14.2,0.58,0.248,0.192,0.094,0.046,0.42,0.562,0.715,0.454,0.464,0.386,0.37,0.511,0.824,0.071,457,0.258,1108,0.246,0.39,2,0,203414011,190581469,808346,12024196,15,26.9,228841297,-74194297,194042641,111414710,0,15,26.9,82.0,2.393333,13344472.133333,13.333333,4151306.346939,0.240888,0.016469,0.016223,0.574198,0.003974,0.0,4670230.55102,0.059112,0.936914,0.574176,-0.324217,1.004106,2.932561,0.953601,3.3,0.03,0.1,-0.6,1.763514,0.420339,0.285876,0.251701,0.668,0.590476,0.5425,0.02,0.6675,1565,-0.222109,0.34898,0.087755,0.863265,0.565158,0.546379,-0.227967
