Feature,Importance,ImportanceStandardDeviation
ORtg,3.7058125,1.2091529109290111
EffectiveFGDifferential,1.2021736111111112,0.7566819677756745
DRtg,1.1993541666666665,0.500237918944344
PayrollMillions,0.0604791666666667,0.11291159467391096
TRB,0.05684722222222221,0.02627438975692407
ReboundingComposite,0.04856250000000009,0.03613484863507294
TS%,0.04269444444444416,0.11872874972306621
Pace,0.03599305555555592,0.0348016736828351
AST,0.00320833333333382,0.022947807125123145
AvgAge,-0.0024583333333337326,0.03195783535755722
AssistTurnoverRatio,-0.013090277777777656,0.02570319389320558
Salary_Top3Share,-0.027118055555555465,0.07972680282281948
TOV,-0.05334027777777808,0.061279506388054225
DeadCashPctOfPayroll,-0.05867361111111101,0.06994949987521876
TurnoverRateDifferential,-0.09290972222222255,0.08402774018594214
