Rank,Team,Record,Signed,Avg Age,Team Active,Dead,Retained,Total Cash
28,WAS,17-65,15,23.8,102027346,22865076,48509367,173401789
15,ATL,46-36,15,25.6,137989431,5262100,46624396,189875927
1,CLE,52-30,15,27.3,181104094,1474424,44821974,227400492
2,DAL,26-56,15,26.0,171248316,6644286,42608690,220501292
8,LAC,42-40,15,27.5,155786780,363480,42486122,198636382
23,CHI,31-51,15,24.7,137691448,10844750,34105304,182641502
26,MEM,25-57,15,25.1,131172917,12942654,34085769,178201340
10,BOS,56-26,15,26.1,172490138,582842,23853956,196926936
4,GSW,37-45,15,28.8,184497249,529164,22366514,210019601
16,SAC,22-60,15,27.3,176122364,495591,12923533,189541488
5,MIN,49-33,15,26.9,190581469,808346,12024196,203414011
22,IND,19-63,15,26.0,169685984,4637120,10895370,185218474
29,UTA,22-60,15,25.1,122387266,17400130,7850218,147637614
7,LAL,53-29,15,26.7,190246888,1076877,7770708,199094473
25,DET,60-22,15,25.9,166479170,6210275,7181386,179870831
6,PHI,45-37,15,26.4,193913358,1647784,5485695,201046837
11,ORL,45-37,15,24.9,188254449,636435,4893479,193784363
14,PHX,45-37,15,25.8,161323492,24209031,4755325,190287848
13,TOR,46-36,15,25.2,184425980,1813382,4591308,190830670
19,OKC,64-18,15,24.6,181465678,2298085,4063871,187827634
24,MIL,32-50,16,27.2,148949876,28508207,3999724,181457807
3,NYK,53-29,15,26.1,207285880,369424,3413793,211069097
20,NOP,26-56,15,25.1,179754695,2118673,3239339,187462285
27,CHA,44-38,15,24.3,153328579,21725327,2254139,177308045
12,DEN,54-28,15,26.7,189548304,636435,1821550,192006289
17,POR,42-40,16,25.0,160447930,26455281,1761367,188664578
9,HOU,52-30,15,27.8,197075354,110300,1120479,198306133
18,MIA,43-39,15,25.2,160549396,26643031,1068041,188260468
30,BKN,20-62,16,23.4,120887225,23426027,0,144313252
21,SAS,62-20,15,26.6,179509527,7569181,0,187078708
