Rank,Team,Record,Players,Active Avg Age,Team Total Cap Allocations,Cap Space,All Active,Active Top 3,Dead Cap
1,OKC,64-18,15,24.6,188057857,-33410857,183713089,84935050,2296274
2,SAS,62-20,15,26.6,183990669,-29343669,176732468,83596620,7258201
3,DET,60-22,15,25.9,193082507,-38435507,176545353,91019317,9337154
4,BOS,56-26,15,26.1,194526296,-39879296,187416191,135368714,469063
5,DEN,54-28,15,26.7,200743895,-46096895,187214031,124460081,0
6,LAL,53-29,15,26.7,211399497,-56752497,194334002,116886072,991577
7,NYK,53-29,15,26.1,209823691,-55176691,207454264,127655231,73153
8,CLE,52-30,15,27.3,226181970,-71534970,211979654,132234290,424672
9,HOU,52-30,15,27.8,201412484,-46765484,194771442,113653563,0
10,MIN,49-33,15,26.9,228841297,-74194297,194042641,111414710,0
11,TOR,46-36,15,25.2,194966020,-40319020,184295524,109256988,2674222
12,ATL,46-36,15,25.6,193255583,-38608583,180372060,84466235,6242481
13,PHX,45-37,15,25.8,207796989,-53149989,162373811,108850873,25493325
14,PHI,45-37,15,26.4,199898431,-45251431,192381622,144849376,1123547
15,ORL,45-37,15,24.9,194063614,-39416614,187670352,110387420,0
16,CHA,44-38,15,24.3,183806358,-29159358,154497268,76625427,29309090
17,MIA,43-39,15,25.2,197952062,-43305062,159827661,96319835,26643031
18,LAC,42-40,15,27.5,199054230,-44407230,189852974,116026090,263940
19,POR,42-40,16,25.0,197927822,-43280822,161370946,78775001,25818846
20,GSW,37-45,15,28.8,234222725,-79575725,204850563,144464974,263940
21,MIL,32-50,16,27.2,182099997,-27452997,152616582,102005306,29483415
22,CHI,31-51,15,24.7,187673271,-33026271,166164036,71853571,16916687
23,NOP,26-56,15,25.1,207453274,-52806274,182257822,102095408,5469850
24,DAL,26-56,15,26.0,200372430,-45725430,174224556,88319088,10343186
25,MEM,25-57,15,25.1,157650285,-3003285,133187436,79553506,24462849
26,SAC,22-60,15,27.3,213853369,-59206369,187271649,114405660,395910
27,UTA,22-60,15,25.1,173117343,-18470343,147149062,100769100,25968281
28,BKN,20-62,16,23.4,150960352,3686648,126155353,79374810,24804999
29,IND,19-63,15,26.0,191900207,-37253207,183115307,109995004,4440132
30,WAS,17-65,15,23.8,232033397,-77386397,162858635,112328790,23844113
